Project ID;Project Title;Client;Stakeholders;Category;Education;Lectoraat;Researcher;Tags;Contact Info Client;Contact Info Lectoraat;Project Goal;Results;Start Date;Intake Date;Review Date;EndDate;Submit Date;ProjectStatus;ProjectDuration;Dependencies
1;Project A;Client A;Stakeholder 1, Stakeholder 2;Research;Department A;Lectoraat X;Researcher 1;Tag 1, Tag 2;clienta@email.com;lectoraatx@email.com;Research on Topic A;Results of Project A;15-1-2023;1-1-2023;15-2-2023;30-3-2023;1-1-2023;Completed;75;
2;Project B;Client B;Stakeholder 2, Stakeholder 3;Development;Department B;Lectoraat Y;Researcher 2;Tag 2, Tag 3;clientb@email.com;lectoraaty@email.com;Development of Product B;Results of Project B;20-2-2023;1-2-2023;20-3-2023;30-4-2023;1-2-2023;Ongoing;;1
3;Project C;Client C;Stakeholder 1, Stakeholder 4;Education;Department A;Lectoraat Z;Researcher 3;Tag 1, Tag 4;clientc@email.com;lectoraatz@email.com;Education Program C;Results of Project C;10-3-2023;1-3-2023;10-4-2023;15-5-2023;1-3-2023;Planned;;-1
4;Project D;Client D;Stakeholder 3, Stakeholder 5;Research;Department B;Lectoraat X;Researcher 4;Tag 3, Tag 5;clientd@email.com;lectoraatx@email.com;Research on Topic D;Results of Project D;5-1-2023;1-1-2023;5-2-2023;15-3-2023;1-1-2023;Completed;70;2
5;Project E;Client E;Stakeholder 2, Stakeholder 4;Development;Department C;Lectoraat Y;Researcher 5;Tag 2, Tag 4;cliente@email.com;lectoraaty@email.com;Development of Product E;Results of Project E;10-2-2023;1-2-2023;10-3-2023;20-4-2023;1-2-2023;Ongoing;;3
6;Project F;Client F;Stakeholder 1, Stakeholder 3;Education;Department A;Lectoraat Z;Researcher 6;Tag 1, Tag 3;clientf@email.com;lectoraatz@email.com;Education Program F;Results of Project F;20-3-2023;1-3-2023;20-4-2023;25-5-2023;1-3-2023;Planned;;-1
7;Project G;Client G;Stakeholder 1, Stakeholder 2;Research;Department A;Lectoraat X;Researcher 7;Tag 1, Tag 2;clientg@email.com;lectoraatx@email.com;Research on Topic G;Results of Project G;30-1-2023;1-1-2023;28-2-2023;10-4-2023;1-1-2023;Ongoing;;1
8;Project H;Client H;Stakeholder 2, Stakeholder 5;Development;Department B;Lectoraat Y;Researcher 8;Tag 2, Tag 5;clienth@email.com;lectoraaty@email.com;Development of Product H;Results of Project H;15-2-2023;1-2-2023;15-3-2023;25-4-2023;1-2-2023;Planned;;-1
9;Project I;Client I;Stakeholder 1, Stakeholder 3;Education;Department A;Lectoraat Z;Researcher 9;Tag 1, Tag 3;clienti@email.com;lectoraatz@email.com;Education Program I;Results of Project I;5-3-2023;1-3-2023;5-4-2023;10-5-2023;1-3-2023;Ongoing;;6
10;Project J;Client J;Stakeholder 2, Stakeholder 4;Research;Department C;Lectoraat X;Researcher 10;Tag 2, Tag 4;clientj@email.com;lectoraatx@email.com;Research on Topic J;Results of Project J;10-1-2023;1-1-2023;10-2-2023;20-3-2023;1-1-2023;Planned;;-1
11;Project K;Client K;Stakeholder 3, Stakeholder 5;Development;Department B;Lectoraat Y;Researcher 11;Tag 3, Tag 5;clientk@email.com;lectoraaty@email.com;Development of Product K;Results of Project K;25-2-2023;1-2-2023;25-3-2023;5-5-2023;1-2-2023;Completed;70;10
12;Project L;Client L;Stakeholder 1, Stakeholder 2;Education;Department A;Lectoraat Z;Researcher 12;Tag 1, Tag 2;clientl@email.com;lectoraatz@email.com;Education Program L;Results of Project L;15-3-2023;1-3-2023;15-4-2023;20-5-2023;1-3-2023;Ongoing;;11
13;Project M;Client M;Stakeholder 2, Stakeholder 3;Research;Department A;Lectoraat X;Researcher 13;Tag 2, Tag 3;clientm@email.com;lectoraatx@email.com;Research on Topic M;Results of Project M;25-1-2023;1-1-2023;25-2-2023;5-4-2023;1-1-2023;Planned;;-1
14;Project N;Client N;Stakeholder 1, Stakeholder 4;Development;Department C;Lectoraat Y;Researcher 14;Tag 1, Tag 4;clientn@email.com;lectoraaty@email.com;Development of Product N;Results of Project N;5-2-2023;1-2-2023;5-3-2023;15-4-2023;1-2-2023;Completed;70;13
15;Project O;Client O;Stakeholder 1, Stakeholder 3;Education;Department A;Lectoraat Z;Researcher 15;Tag 1, Tag 3;cliento@email.com;lectoraatz@email.com;Education Program O;Results of Project O;25-3-2023;1-3-2023;25-4-2023;30-5-2023;1-3-2023;Ongoing;;14
